Person ID,Name,Freebase ID
574,Tex Rubinowitz,
576,Lee Daniel,
577,Fred Frith,
578,Ridley Scott,/en/ridley_scott
580,Sandra Adair,
581,Michael Deeley,
582,Sheri Galloway,
583,Hampton Fancher,/en/hampton_fancher
584,Philip K. Dick,
585,Rutger Hauer,/en/rutger_hauer
586,Sean Young,/en/sean_young
587,Edward James Olmos,/en/edward_james_olmos
588,M. Emmet Walsh,/en/m_emmet_walsh
589,Daryl Hannah,/en/daryl_hannah
590,William Sanderson,/en/william_sanderson
591,Brion James,/en/brion_james
592,Joe Turkel,/en/joe_turkel
593,Joanna Cassidy,/en/joanna_cassidy
594,Jordan Cronenweth,
595,Vangelis,
596,Lawrence G. Paull,
597,Jane Feinberg,
598,Mike Fenton,
599,Marci Liroff,
600,Marsha Nakashima,
601,David L. Snyder,
602,Linda DeScenna,
603,Leslie McCarthy-Frankenheimer,
605,Michael Kaplan,
606,Charles Knode,
607,Zhang Yimou,
608,Hayao Miyazaki,/en/hayao_miyazaki
611,Cindy Davis,
613,Sumi Shimamoto,/en/sumi_shimamoto
614,Mahito Tsujimura,/en/mahito_tsujimura
615,Hisako Kyoda,/en/hisako_kyoda
616,Gorō Naya,/en/goro_naya
617,Ichiro Nagai,/en/ichiro_nagai
618,Kohei Miyauchi,/en/kohei_miyauchi
619,Joji Yanami,/en/jouji_yanami
620,Minoru Yada,/en/minoru_yada
621,Rihoko Yoshida,/en/rihoko_yoshida
622,Youji Matsuda,/en/y_ji_matsuda
623,Mina Tominaga,/en/miina_tominaga
624,Yoshiko Sakakibara,
625,Iemasa Kayumi,/en/iemasa_kayumi
626,Tetsuo Mizutori,/en/tetsuo_mizutori
627,Rick Dempsey,
628,Isao Takahata,/en/isao_takahata
629,Hideshi Kyonen,
630,Mark Henley,
631,Ned Lott,
632,Naoki Kaneko,
633,Tomoko Kida,
634,Shōji Sakai,
635,Shigeharu Shiba,
636,Joe Hisaishi,
638,Michael Mann,
639,Pieter Jan Brugge,
